matrix,original,0,2,4,8,16,32
pwtk,418.122811,412.657856,400.512034,362.724198,343.808126,231.225401,231.084752
TSOPF_RS_b2383,515.911102,517.564359,516.797303,496.659431,461.441766,287.056227,285.071939
ldoor,524.969568,504.266308,501.460269,412.935731,408.565858,257.357099,259.044282
bone010,531.746927,516.215951,508.926917,424.293326,421.806365,264.147638,262.850156
audikw_1,543.722851,531.615274,529.254662,425.555446,423.882593,264.864043,263.291419
wikipedia-20051105,252.385911,445.031975,404.194331,363.632779,352.546246,236.282250,236.476369
kron_g500-logn18,288.332934,536.229278,530.103543,415.826015,418.185973,279.513405,314.981173
GL7d20,251.020976,476.568930,457.600318,385.430005,382.650455,249.509548,249.872707
sx-stackoverflow,250.005046,517.968493,453.984990,380.898042,368.517767,243.120000,243.517256
dgreen,282.393019,489.833013,487.905951,399.955332,396.574039,250.806525,250.726400
pwtk,415.999857,409.886523,403.063364,361.713491,342.284580,230.584969,229.902635
TSOPF_RS_b2383,518.541455,516.318789,516.875765,498.346868,456.279391,287.273590,286.382648
ldoor,525.311894,505.354304,502.826764,411.711972,407.581962,257.626276,258.941552
bone010,534.792391,516.537787,509.015928,423.598019,421.749583,264.303384,262.864979
audikw_1,544.934324,519.349120,528.791084,425.290618,423.798732,264.844847,263.323561
wikipedia-20051105,263.346283,442.399402,403.799787,363.621065,351.846850,236.166074,236.909597
kron_g500-logn18,292.457881,538.944704,532.263102,416.077374,416.614827,279.826585,314.683219
GL7d20,251.951360,477.735171,457.149822,384.015775,383.148879,249.602258,249.883673
sx-stackoverflow,249.383440,515.683219,453.986412,379.924033,368.785480,243.232203,243.607099
dgreen,282.202172,489.662182,488.119147,399.500643,396.613608,245.916918,249.887756
pwtk,418.822721,410.783794,403.880149,362.597021,343.686251,231.463460,230.667830
TSOPF_RS_b2383,519.762283,519.699644,515.003332,497.413728,457.216300,287.301660,285.825216
ldoor,525.026591,505.726488,500.779466,412.215396,408.224380,257.427590,258.821083
bone010,533.218691,518.177357,508.396203,423.583310,421.959412,264.251611,262.770284
audikw_1,544.300252,517.008592,527.412375,426.151275,423.989058,264.574923,263.448522
wikipedia-20051105,251.639982,441.779771,401.503687,365.543045,351.980078,236.102207,236.908176
kron_g500-logn18,289.644877,537.782470,529.513395,415.064600,417.259551,279.305007,314.451802
GL7d20,251.190513,477.923255,457.522402,385.398948,382.879581,249.660367,250.191895
sx-stackoverflow,249.391808,516.034829,452.985365,380.772454,369.216699,243.158138,243.401520
dgreen,282.763471,489.478945,489.478162,400.111134,397.012817,248.558583,249.335697
pwtk,416.260323,410.952470,400.836303,364.988655,342.806497,231.104260,231.076146
TSOPF_RS_b2383,521.423541,517.378071,517.910381,500.359122,461.603120,286.515207,286.274916
ldoor,526.687913,501.968194,501.012714,412.433746,407.990336,257.670688,258.632772
bone010,531.814501,516.168082,509.656194,424.124776,421.889860,264.105902,262.763058
audikw_1,547.833082,519.923751,525.784829,425.735391,423.872470,264.663070,263.369109
wikipedia-20051105,251.314622,444.841554,402.690532,364.117910,352.680004,236.100444,236.794222
kron_g500-logn18,288.412003,536.652449,533.571340,415.279389,417.274975,280.347330,313.685768
GL7d20,252.258853,475.467917,458.846195,385.586611,382.908395,249.769622,250.481463
sx-stackoverflow,248.525187,514.050815,452.165693,380.726943,369.288197,242.973883,243.394366
dgreen,282.337535,490.065159,489.946706,399.015775,396.502117,248.236247,246.775227
pwtk,417.788734,411.963794,402.215110,362.676143,342.971976,231.100244,231.793179
TSOPF_RS_b2383,518.576791,516.617756,514.446290,498.191422,456.912714,286.988090,285.897225
ldoor,526.431641,504.617049,502.721489,412.949476,407.752093,257.660342,258.965335
bone010,531.827821,517.025490,507.755950,424.350168,421.691885,264.149829,262.932005
audikw_1,545.685852,519.486794,530.644391,425.684921,423.851358,264.654388,263.479362
wikipedia-20051105,252.291623,444.788966,405.487661,364.295864,351.853901,236.443109,236.871955
kron_g500-logn18,289.652309,536.516418,531.496249,416.015016,417.729977,280.170597,314.828321
GL7d20,251.504086,477.741852,455.935727,384.571562,383.047005,249.805888,249.919972
sx-stackoverflow,249.043622,518.465999,452.315979,380.164700,368.622274,243.708687,243.359015
dgreen,282.649101,489.942784,492.021213,398.428846,396.927866,246.944859,249.144918
